,F3 alpha,F3 beta,F4 alpha,F4 beta,C3 alpha,C3 beta,C4 alpha,C4 beta,Fp1 alpha,Fp1 beta,Fp2 alpha,Fp2 beta,O1 gamma,O2 gamma
0,1.8520061739070253e-07,1.0523108451870528e-07,1.243387771324529e-07,7.467432830435865e-08,3.186667595346769e-09,5.5893845476725976e-08,-6.670420225180339e-08,1.1174158152912594e-08,1.2958934259904578e-09,4.6403575958814715e-11,2.576498399978099e-07,1.3818155815523115e-07,4.7937089073452315e-08,5.967408142902102e-08
1,-9.17955377667507e-08,-4.10583828968918e-08,-7.307425528240451e-08,-1.0968549344457223e-08,-6.099664068955204e-08,-4.485502060986102e-08,-1.2269231496829463e-07,2.0050538748253305e-08,9.152205639580444e-10,1.640661697469457e-10,-1.6407402628909897e-07,-2.7432916079914956e-08,-3.388233059579922e-08,-2.4111015540086076e-08
2,7.035851268245895e-08,3.4028402100821565e-08,3.610645577551778e-08,-7.057350662259159e-11,7.693039320831387e-08,4.262709627928137e-08,1.9183988818971708e-07,5.405043432315058e-08,-4.6049747879110796e-10,7.222280816352989e-10,1.294893880819664e-07,8.712922303372941e-09,7.698463708692027e-09,1.297639410565396e-08
3,8.719120663291023e-08,-1.082236832432632e-08,1.5857084457341691e-07,3.205032904081177e-08,1.003652361537116e-07,8.328406766055222e-09,1.6824137833927895e-08,-7.124274554042294e-08,-5.285428735209196e-10,-1.8610662215686365e-10,1.1275108409281552e-07,1.8250133252649756e-08,1.339688713395394e-08,6.050731876954476e-09
4,-1.468533522300587e-07,1.3514339863195522e-08,-1.0620540191956093e-07,1.040994837976118e-09,-1.5382969976219618e-07,-1.9389401858124898e-08,-3.0992596187908617e-08,3.433000905059102e-08,-8.710282467782671e-10,-5.65570176384041e-10,-6.989843356554586e-08,1.55838176495125e-08,3.0409062981764287e-09,-1.3608613950368295e-08
5,-2.4703326896247068e-09,-1.2957515163807107e-09,-5.006356176966671e-08,-6.154291156151574e-08,8.303219563195375e-09,1.3714090395648936e-08,-8.807865713975865e-08,-5.872414540831974e-08,4.4035359117806585e-09,6.834046962211312e-10,-8.76334668286559e-08,-3.954206016117046e-08,-3.362642576867486e-09,9.910455212381322e-09
6,1.8951197512928497e-07,3.3010255889981085e-08,1.6105363404915224e-07,7.707063684936073e-08,1.4789646744263945e-07,1.6196822141461754e-08,6.780331350402873e-08,4.133738652505559e-08,-1.7644847696867558e-09,-1.0156731648877657e-10,9.176105244955895e-08,3.9172330196806194e-08,-4.990126476967982e-09,5.660334285765493e-09
7,-5.452088321658739e-08,6.772724606803827e-09,-4.36190067956037e-08,6.3156027548865364e-09,-6.283014477088422e-08,-7.320542494011575e-09,3.2529911690155857e-08,1.975876175148181e-08,-2.0622287426301763e-09,-1.4460950028819622e-09,2.2548813023589476e-08,3.585357098329161e-08,-9.492221493621445e-10,-1.669302569012995e-08
8,-9.45288281138304e-08,-4.281818616081613e-08,-4.463661985726677e-08,-3.554322611466693e-08,-1.1630719480528051e-07,-5.0503524444034094e-08,-6.778078410143774e-08,-4.152987547899459e-08,2.1323864244179825e-09,1.3771073526473024e-09,-7.011686888305123e-08,-4.773199465824353e-08,5.197332772649416e-09,1.3480203199772118e-08
9,9.970008141954361e-08,4.234066691088116e-08,3.109647840481729e-08,3.374496578989073e-08,1.375552632913601e-07,6.010126044512149e-08,5.88003357000894e-08,3.3127428503121444e-08,-2.490067302734642e-09,-7.944266007281117e-10,7.781160423413517e-08,5.6423680672999493e-08,-1.2609776804849722e-08,1.2647944194662129e-09
