Unnamed: 0,F3 alpha mean,F3 alpha psd_mean,F3 beta mean,F3 beta psd_mean,F4 alpha mean,F4 alpha psd_mean,F4 beta mean,F4 beta psd_mean,C3 alpha mean,C3 alpha psd_mean,C3 beta mean,C3 beta psd_mean,C4 alpha mean,C4 alpha psd_mean,C4 beta mean,C4 beta psd_mean,Fp1 alpha mean,Fp1 alpha psd_mean,Fp1 beta mean,Fp1 beta psd_mean,Fp2 alpha mean,Fp2 alpha psd_mean,Fp2 beta mean,Fp2 beta psd_mean,O1 gamma mean,O1 gamma psd_mean,O2 gamma mean,O2 gamma psd_mean,task
0,-4.867961935970802e-10,1.8639033160334566e-16,5.1052054846139396e-11,1.3081406871259945e-17,-4.0540613248636014e-10,1.6123271414632206e-16,2.4083047029868083e-11,1.2709431819236832e-17,-4.467725051908663e-10,7.284632784193564e-17,2.26772398731746e-11,4.561319885718535e-18,-2.1274488550362155e-10,1.1389741858160951e-16,1.1773533054845204e-12,9.368004590360114e-18,2.4455239719948877e-12,2.2194595501351096e-20,-1.1370313115449937e-12,4.4295641925508925e-21,-3.9741030588409197e-10,1.872751188461335e-16,1.6363259743341498e-11,1.1107637295591045e-17,3.2946024786468947e-11,5.996869921178234e-19,2.374691450226329e-11,3.133132082926226e-19,med1breath
1,1.2795961342456591e-11,5.88262039827839e-17,6.924805312053977e-12,7.929441655205315e-18,1.3909418726123943e-10,7.522366618557817e-17,4.310108014295993e-11,8.310610309360499e-18,8.385764801165091e-11,3.2396588116063486e-17,-1.4328089693222915e-11,4.0816015163076816e-18,6.577817430000185e-11,4.402797176118586e-17,2.5259920652884947e-11,6.507764782602074e-18,-8.579266119115178e-12,2.0235541025083194e-20,-5.029333853726336e-12,5.14233587622997e-21,1.9035064433334867e-10,7.116939565182362e-17,9.087191558540422e-11,7.520859058001779e-18,3.514683806233608e-11,8.286853812596791e-19,-4.087967799851781e-12,3.8405323464485473e-19,med2
2,2.8774797978347944e-10,3.765389398357738e-16,1.4343951625038884e-10,5.0725716594925137e-17,2.2596088138099683e-10,3.910510923441251e-16,1.3585315469359534e-10,4.6345625745177026e-17,5.372878897772552e-10,1.8540703967989462e-16,6.7770302305810195e-12,2.4751449216513083e-17,2.6223042092236143e-10,2.808629170969797e-16,9.1014306156128e-11,3.286714667705463e-17,1.6536940621775908e-11,9.814387271081072e-20,5.802818124590538e-12,2.5662194237002142e-20,2.6664750836095167e-10,4.036656239559229e-16,1.7237378621880323e-10,4.5787410534054523e-17,4.943890427723583e-11,3.201480912517197e-18,7.791575874002989e-11,1.2522588071211029e-18,think1
3,3.4306482555354537e-11,7.242792653303787e-16,-1.0156312051377084e-10,7.947596019286737e-17,1.3716612805340926e-11,8.768813723670048e-16,-1.1391514876964827e-10,9.139636666585396e-17,7.512464439898775e-11,2.776925861082813e-16,-2.2661404975790032e-11,4.0081541954200004e-17,-5.777030861262932e-11,3.729698668131037e-16,-8.920623932838362e-11,3.842284879015709e-17,5.5761587575461636e-12,1.5866092170640706e-19,1.714042725481828e-12,2.6675296612199044e-20,-2.153131631838931e-11,4.4187345841490864e-16,-7.115125117898555e-11,4.7094436762685905e-17,-1.2562356745070638e-11,3.519315991652602e-18,-1.6048903506266897e-11,1.1778116129799508e-18,think2
4,-1.5449800519988415e-10,7.981838684488143e-16,-3.384425434531889e-10,1.9277958049312173e-17,1.965323065905072e-10,9.06619165545216e-16,-2.9118722088690846e-10,2.1843740423703518e-17,6.562742899294625e-11,3.962570981979604e-16,-2.534173641221785e-10,1.0029307665295489e-17,1.8308076340552368e-10,4.758730875374704e-16,-2.2736024980483067e-10,1.2754792490722038e-17,3.0702148169299266e-12,2.275887307140912e-20,2.1941594976307784e-12,4.709806764038655e-21,1.6569971242319234e-10,9.955178855802396e-16,-3.65203344298918e-10,2.6262074453863962e-17,2.9486189471289787e-12,6.689475167056424e-19,2.6990468234429988e-11,3.707095242411338e-19,med1breath
5,-4.6841361422490686e-11,9.041597013193442e-16,-1.9360487602303874e-11,1.945053114911604e-17,1.3592932189625278e-10,9.465923156755042e-16,2.926460574871907e-11,2.3598692625992632e-17,1.871237407050774e-10,4.054403538106004e-16,-4.0406131867549426e-11,1.1562932377026092e-17,3.570229075884247e-10,4.614205913849112e-16,5.0896321985338175e-11,1.5627551032910016e-17,1.729660759631183e-11,1.9292572749164063e-20,6.126884048625315e-12,4.0307821259393714e-21,1.5554656845402629e-10,1.1093618614061337e-15,1.0507237575893259e-10,2.542118914499065e-17,1.4158444556673576e-09,6.748460471950904e-17,-5.7800356897632376e-11,4.4731125184125385e-19,med2
6,7.59004159869929e-10,9.233944955293982e-16,2.4298843639049786e-10,1.3793614447207857e-17,5.457931960044634e-10,9.79777374950058e-16,2.3542698030701e-10,1.7099860784320278e-17,2.2770870224588967e-10,4.649058232912677e-16,2.3524737365869e-10,1.1582857610049264e-17,3.9726349378719103e-10,4.785871572449162e-16,1.565101615707767e-10,1.1216934510291162e-17,-7.792499506960486e-12,2.267250269849648e-20,-2.395751578377084e-12,5.164295236810915e-21,7.505677266214236e-10,1.1013208519473297e-15,2.382409848366629e-10,1.8181655640216826e-17,-2.1489713050403208e-11,3.3206934708405484e-19,-1.2544030247633908e-11,3.080368916200198e-19,think1
7,5.176984749037067e-10,9.017085211662152e-16,-2.3402276665915313e-10,2.0494406964380196e-17,6.175381487462741e-10,9.448289267586402e-16,-2.543959149749971e-10,2.366870141715425e-17,-2.001347708493605e-10,2.9586211757098617e-15,-3.5460110964866566e-10,2.0078716394802006e-16,4.166447580869943e-10,5.451316614511509e-16,-1.8054450741239614e-10,1.7237914224250937e-17,1.5223407820743528e-11,2.251703618714576e-20,6.458929441429314e-12,4.654486891090324e-21,1.089778125543557e-09,1.111857597967304e-15,-1.7916353626432066e-10,2.6599410694043357e-17,-3.2250032704599e-11,3.213120621977824e-19,-1.2105882444411024e-11,3.7086445624676833e-19,think2
8,-7.85722981852453e-10,9.014477418351148e-16,-7.923402450359936e-11,2.6516712768136457e-17,-6.046313926229904e-10,1.0414039669840806e-15,-1.5599448760050754e-10,2.885195244469489e-17,-6.519113244826555e-10,4.501105449557763e-16,-7.241250832914624e-11,1.3556662933563149e-17,-3.7364861965469015e-10,6.401155906168642e-16,-1.4813672330852208e-10,1.831632887717321e-17,-3.521497721736853e-12,2.009496390591244e-20,-3.2818930992336495e-12,5.47363843255336e-21,-7.589737443972433e-10,1.135591231791192e-15,-1.6170354638569624e-10,3.185646603064171e-17,6.3148071330024164e-12,4.281424968500887e-19,-2.168323010990302e-12,4.579454487773316e-19,med1breath
9,-6.73442189135423e-10,3.6197883178036384e-16,-6.199074599127825e-12,1.8382590809885365e-17,-5.885003092512133e-10,4.050908031145152e-16,-6.865808853129381e-12,2.1248979430169107e-17,-6.790172052346023e-10,2.010494544399412e-16,-3.598615364566307e-11,9.680584055700713e-18,-3.370543709791557e-10,2.663609369646132e-16,2.883771277699746e-11,1.3644363165615927e-17,4.773729610680003e-12,2.272797302649728e-20,3.612296485929523e-12,5.164575461780961e-21,-4.846318115900103e-10,4.0440786253625682e-16,-1.9699582209055558e-11,2.2562888275436666e-17,-8.401527941684988e-12,2.4158724981575595e-19,7.662559658121242e-12,3.8768320974960843e-19,med2
